key,context,en,fr,it,de,es,ru,zh,ja,ko
stat.CounterstrikePercent,(generated),Counterstrike,Contre-attaque,Contrattacco,Konter,Contraataque,Контрудар,反击,カウンター,반격
stat.CritChance,(generated),Crit Chance,Chance de critique,Probabilità critica,Kritchance,Prob. de crítico,Шанс крита,暴击几率,クリティカル率,치명타 확률
stat.CritMultiplier,(generated),Crit Multiplier,Multiplicateur de critique,Moltiplicatore critico,Krit-Multiplikator,Multiplicador de crítico,Множитель крита,暴击倍率,クリティカル倍率,치명타 배율
stat.DeathNovaCharges,(generated),Death Nova Charges,Charges de Nova de la Mort,Cariche di Nova della Morte,Todesnova-Ladungen,Cargas de Nova de la Muerte,Заряды Новы смерти,死亡新星充能,デスノヴァチャージ数,데스 노바 충전
stat.DeathNovaCooldown,(generated),Death Nova Cooldown,Recharge de Nova de la Mort,Ricarica Nova della Morte,Todesnova-Abklingzeit,Reutilización de Nova de la Muerte,Перезарядка Новы смерти,死亡新星冷却,デスノヴァクールダウン,데스 노바 재사용 대기시간
stat.DeathNovaRevivePercent,(generated),Revive Health,Vie de résurrection,Salute di resurrezione,Wiederbelebungsleben,Salud de resurrección,Здоровье при воскрешении,复活生命值,復活時体力,부활 체력
stat.ExplodingHeadsDamagePercent,(generated),Exploding Heads Damage,Dégâts Têtes Explosives,Danni Teste Esplosive,Schaden explodierender Köpfe,Daño de Cabezas Explosivas,Урон Взрывных голов,爆裂头颅伤害,頭部爆発ダメージ,머리 폭발 피해
stat.FlamingArrowsBomberDetonateChance,(generated),Bomber Detonate Chance,Chance de détonation de Bombardier,Probabilità di detonazione Bombarolo,Bomber-Detonationschance,Probabilidad de detonación de Bombardero,Шанс детонации бомбардира,轰炸者引爆几率,ボマー起爆確率,폭탄병 기폭 확률
stat.FlamingArrowsDamagePercent,(generated),Fire Damage,Dégâts de feu,Danni da fuoco,Feuerschaden,Daño de fuego,Урон огнём,火焰伤害,炎ダメージ,화염 피해
stat.FreezingDrawSlowPercent,(generated),Freezing Draw Slow,Ralentissement Tir Glacial,Rallentamento Tiro Gelido,Frostschuss-Verlangsamung,Ralentización de Disparo Gélido,Замедление Ледяной тетивы,冰霜拉弓减速,フリージングドロー減速,얼어붙는 시위 둔화
stat.GoldDropMultiplier,(generated),Gold Drop,Butin d'or,Bottino d'oro,Gold-Drop,Botín de oro,Выпадение золота,金币掉落,ゴールドドロップ,골드 드롭
stat.GoldenGoblinChance,(generated),Golden Goblin Chance,Chance de Gobelin Doré,Probabilità Goblin Dorato,Goldgoblin-Chance,Probabilidad de Goblin Dorado,Шанс золотого гоблина,黄金哥布林几率,ゴールデンゴブリン確率,황금 고블린 확률
stat.GoldenGoblinGoldBonusPercent,(generated),Golden Goblin Bonus,Bonus de Gobelin Doré,Bonus Goblin Dorato,Goldgoblin-Bonus,Bono de Goblin Dorado,Бонус золотого гоблина,黄金哥布林加成,ゴールデンゴブリンボーナス,황금 고블린 보너스
stat.GoldOnDeathPickupPercent,(generated),Gold on Death,Or à la mort,Oro alla morte,Gold bei Tod,Oro al morir,Золото при смерти,死亡时金币,死亡時ゴールド,사망 시 골드
stat.HealthPackHealPercent,(generated),Health Pack Heal,Soin de trousse de vie,Cura kit medico,Heilpaket-Heilung,Curación de botiquín,Лечение аптечки,治疗包回复,ヘルスパック回復,체력 팩 회복
stat.HoldTheLineGoldPerWave,(generated),Hold The Line Gold Per Wave,Or Tenir la ligne par vague,Oro Tenere la linea per ondata,Stellung-halten-Gold pro Welle,Oro de Mantener la línea por oleada,Золото «Держать оборону» за волну,坚守防线每波金币,ホールド・ザ・ライン毎ウェーブゴールド,전선 사수 웨이브당 골드
stat.HorseArcheryUnlocked,(generated),Horse Archery Unlocked,Tir monté débloqué,Tiro a cavallo sbloccato,Berittenes Bogenschießen freigeschaltet,Tiro a caballo desbloqueado,Конная стрельба разблокирована,骑射解锁,騎乗射撃解放,기마 궁술 해금
stat.HorseHealFromPacks,(generated),Horse Heal From Packs,Soin du cheval par kits,Cura del cavallo dai kit,Pferdeheilung durch Pakete,Curación del caballo con botiquines,Лечение лошади аптечками,马匹补给治疗,馬のパック回復,말 회복 팩
stat.HorseMaxHealthMultiplier,(generated),Horse Max Health Multiplier,Multiplicateur de PV max du cheval,Moltiplicatore salute max cavallo,Pferde-Maximalleben-Multiplikator,Multiplicador de salud máx. del caballo,Множитель макс. здоровья лошади,马匹生命上限倍率,馬の最大体力倍率,말 최대 체력 배율
stat.HorseRidingUnlocked,(generated),Horse Riding Unlocked,Équitation débloquée,Equitazione sbloccata,Reiten freigeschaltet,Montar a caballo desbloqueado,Верховая езда разблокирована,骑乘解锁,騎乗解放,승마 해금
stat.HorseSpeedMultiplier,(generated),Horse Speed Multiplier,Multiplicateur de vitesse du cheval,Moltiplicatore velocità cavallo,Pferdegeschwindigkeits-Multiplikator,Multiplicador de velocidad del caballo,Множитель скорости лошади,马匹速度倍率,馬の速度倍率,말 속도 배율
stat.IceBreakerDamageBonus,(generated),Ice Breaker Damage,Dégâts Brise-glace,Danni Rompighiaccio,Eisbrecher-Schaden,Daño Rompehielos,Урон «Ледокол»,破冰伤害,アイスブレイカーダメージ,얼음 파괴 피해
stat.ImpulseGoblinChance,(generated),Impulse Goblin Chance,Chance de gobelin d'impulsion,Probabilità goblin impulso,Impuls-Goblin-Chance,Probabilidad de goblin de impulso,Шанс импульсного гоблина,脉冲哥布林几率,インパルスゴブリン出現率,임펄스 고블린 확률
stat.ImpulseOrbDuration,(generated),Impulse Duration,Durée d'impulsion,Durata impulso,Impulsdauer,Duración de impulso,Длительность импульса,脉冲持续时间,インパルス持続時間,임펄스 지속 시간
stat.ImpulsePower,(generated),Impulse Power,Puissance d'impulsion,Potenza impulso,Impulskraft,Poder de impulso,Сила импульса,脉冲威力,インパルス威力,임펄스 위력
stat.KnockbackForce,(generated),Knockback Force,Force de recul,Forza di respinta,Rückstoßkraft,Fuerza de empuje,Сила отбрасывания,击退力度,ノックバック力,넉백 힘
stat.LifeStealPercent,(generated),Life Steal,Vol de vie,Rubavita,Lebensraub,Robo de vida,Вампиризм,生命偷取,ライフスティール,생명력 흡수
stat.MageFireDamagePercent,(generated),Fire Bonus Damage,Dégâts de feu bonus,Danni da fuoco bonus,Feuer-Bonusschaden,Daño de fuego adicional,Бонусный урон огнём,火焰加成伤害,炎ボーナスダメージ,화염 추가 피해
stat.MageFireExplosionDamagePercent,(generated),Explosion Damage,Dégâts d'explosion,Danni da esplosione,Explosionsschaden,Daño de explosión,Урон от взрыва,爆炸伤害,爆発ダメージ,폭발 피해
stat.MageFireExplosionRadius,(generated),Explosion Radius,Rayon d'explosion,Raggio esplosione,Explosionsradius,Radio de explosión,Радиус взрыва,爆炸半径,爆発範囲,폭발 범위
stat.MageFlameZoneDamagePercent,(generated),Burning Ground Damage,Dégâts de sol brûlant,Danni terreno in fiamme,Schaden durch brennenden Boden,Daño de suelo ardiente,Урон горящей земли,燃烧地面伤害,燃焼地面ダメージ,불타는 대지 피해
stat.MageFlameZoneDuration,(generated),Burning Ground Duration,Durée de sol brûlant,Durata terreno in fiamme,Dauer des brennenden Bodens,Duración de suelo ardiente,Длительность горящей земли,燃烧地面持续时间,燃焼地面持続時間,불타는 대지 지속 시간
stat.MageIceSlowDurationSeconds,(generated),Chill Duration,Durée de givre,Durata gelo,Frostdauer,Duración de escarcha,Длительность охлаждения,冰缓持续时间,冷気持続時間,냉기 지속 시간
stat.MageIceSlowPercent,(generated),Chill Slow,Ralentissement de givre,Rallentamento gelo,Frost-Verlangsamung,Ralentización de escarcha,Замедление от холода,冰缓减速,冷気スロウ,냉기 둔화
stat.MageImbuementBonusPerCharge,(generated),Damage / charge,Dégâts / charge,Danni / carica,Schaden / Ladung,Daño / carga,Урон / заряд,伤害/充能,ダメージ／チャージ,피해 / 충전
stat.MageImbuementDuration,(generated),Imbuement Duration,Durée d'imprégnation,Durata infusione,Verzauberungsdauer,Duración de imbuición,Длительность зачарования,附魔持续时间,付与持続時間,부여 지속 시간
stat.MageImbuementMaxCharges,(generated),Element Charges,Charges élémentaires,Cariche elementali,Elementarladungen,Cargas elementales,Заряды стихии,元素充能,エレメントチャージ,원소 충전
stat.MageRunestoneCharges,(generated),Runestone Charges,Charges de pierre runique,Cariche pietra runica,Runensteinladungen,Cargas de piedra rúnica,Заряды рунного камня,符文石充能,ルーンストーンチャージ,룬스톤 충전
stat.MaxChargeLevels,(generated),Charge Levels,Niveaux de charge,Livelli di carica,Ladestufen,Niveles de carga,Уровни заряда,充能等级,チャージレベル,충전 단계
stat.MaxHitsPerSwing,(generated),Cut-through,Transpercement,Penetrazione,Durchschlag,Perforación,Пробивание,穿透,貫通,관통
stat.MidasChance,(generated),Midas Chance,Chance de Midas,Probabilità di Mida,Midas-Chance,Probabilidad de Midas,Шанс Мидаса,迈达斯几率,ミダス確率,미다스 확률
stat.MoveSpeed,(generated),Move Speed,Vitesse de déplacement,Velocità di movimento,Bewegungstempo,Velocidad de movimiento,Скорость передвижения,移动速度,移動速度,이동 속도
stat.PainIntoPowerPercent,(generated),Pain Into Power Percent,% Douleur en puissance,Percentuale dolore in potenza,Schmerz-zu-Macht-Prozent,% de dolor en poder,Процент «Боль в силу»,化痛为力百分比,痛みを力に変換率,고통을 힘으로 비율
stat.ParryChance,(generated),Parry Chance,Chance de parade,Probabilità di parata,Parierchance,Probabilidad de parada,Шанс парирования,招架几率,パリィ確率,패링 확률
stat.PlayerMaxHealthMultiplier,(generated),Max Health,Santé max,Salute max,Max. Leben,Salud máx.,Макс. здоровье,生命上限,最大体力,최대 체력
stat.RageGainMultiplier,(generated),Rage Gain Multiplier,Multiplicateur de gain de rage,Moltiplicatore guadagno furia,Wutgewinn-Multiplikator,Multiplicador de ganancia de furia,Множитель получения ярости,怒气获取倍率,レイジ獲得倍率,분노 획득 배율
stat.RageRetentionMultiplier,(generated),Rage Retention Multiplier,Multiplicateur de rétention de rage,Moltiplicatore ritenzione furia,Wuterhalt-Multiplikator,Multiplicador de retención de furia,Множитель сохранения ярости,怒气保留倍率,レイジ維持倍率,분노 유지 배율
stat.SlowDurationBonusSeconds,(generated),Slow Duration,Durée de ralentissement,Durata rallentamento,Verlangsamungsdauer,Duración de ralentización,Длительность замедления,减速持续时间,スロウ持続時間,둔화 지속 시간
stat.SprintSpeed,(generated),Sprint Speed,Vitesse de sprint,Velocità di scatto,Sprinttempo,Velocidad de esprint,Скорость спринта,冲刺速度,スプリント速度,질주 속도
stat.StartMounted,(generated),Start Mounted,Départ à cheval,Inizio in sella,Beritten starten,Comenzar montado,Начало верхом,骑乘开局,騎乗スタート,기마 시작
stat.SwordDamage,(generated),Sword Damage,Dégâts d'épée,Danni spada,Schwertschaden,Daño de espada,Урон меча,剑伤害,剣ダメージ,검 피해
stat.SwordRange,(generated),Sword Range,Portée d'épée,Portata spada,Schwertreichweite,Alcance de espada,Дальность меча,剑攻击范围,剣リーチ,검 사거리
stat.WandChargeDamageBonus,(generated),Wand Charge Damage / level,Dégâts de charge de baguette / niveau,Danni carica bacchetta / livello,Zauberstab-Ladeschaden / Stufe,Daño de carga de varita / nivel,Урон заряда жезла / уровень,魔杖充能伤害/等级,ワンドチャージダメージ／レベル,완드 충전 피해 / 레벨
stat.WandDamage,(generated),Wand Damage,Dégâts de baguette,Danni bacchetta,Zauberstabschaden,Daño de varita,Урон жезла,魔杖伤害,ワンドダメージ,완드 피해
stat.WandKnockback,(generated),Wand Knockback,Recul de baguette,Respinta bacchetta,Zauberstab-Rückstoß,Empuje de varita,Отбрасывание жезла,魔杖击退,ワンドノックバック,완드 넉백
stat.WandMaxChargeLevels,(generated),Wand Charge Levels,Niveaux de charge de baguette,Livelli carica bacchetta,Zauberstab-Ladestufen,Niveles de carga de varita,Уровни заряда жезла,魔杖充能等级,ワンドチャージレベル,완드 충전 단계
stat.WandUnlocked,(generated),Wand Unlocked,Baguette débloquée,Bacchetta sbloccata,Zauberstab freigeschaltet,Varita desbloqueada,Жезл разблокирован,魔杖解锁,ワンド解放,완드 해금
settings.master_volume,Settings row label,Master Volume,Volume général,Volume principale,Gesamtlautstärke,Volumen general,Общая громкость,主音量,マスター音量,전체 음량
settings.music_volume,Settings row label,Music Volume,Volume de la musique,Volume musica,Musiklautstärke,Volumen de música,Громкость музыки,音乐音量,BGM音量,음악 음량
settings.sfx_volume,Settings row label,SFX Volume,Volume des effets,Volume effetti,Effektlautstärke,Volumen de efectos,Громкость эффектов,音效音量,効果音音量,효과음 음량
settings.sensitivity,Settings row label (mouse look),Sensitivity,Sensibilité,Sensibilità,Empfindlichkeit,Sensibilidad,Чувствительность,灵敏度,感度,감도
settings.max_ragdolls,Settings row label,Max Ragdolls,Ragdolls max,Ragdoll massimi,Max. Ragdolls,Ragdolls máx.,Макс. рэгдоллов,最大布娃娃数,最大ラグドール数,최대 래그돌 수
settings.invert_x,Settings row label,Invert X,Inverser X,Inverti X,X invertieren,Invertir X,Инвертировать X,反转X轴,X軸反転,X축 반전
settings.invert_y,Settings row label,Invert Y,Inverser Y,Inverti Y,Y invertieren,Invertir Y,Инвертировать Y,反转Y轴,Y軸反転,Y축 반전
settings.field_of_view,Settings row label,Field of View,Champ de vision,Campo visivo,Sichtfeld,Campo de visión,Поле зрения,视野,視野角,시야각
settings.back,Settings back button,< Back,< Retour,< Indietro,< Zurück,< Atrás,< Назад,< 返回,< 戻る,< 뒤로
settings.tab_general,Settings tab button,General,Général,Generale,Allgemein,General,Общие,常规,一般,일반
settings.tab_controls,Settings tab button,Controls,Commandes,Comandi,Steuerung,Controles,Управление,控制,操作,조작
settings.header_kbm,Rebind grid column header,Keyboard / Mouse,Clavier / Souris,Tastiera / Mouse,Tastatur / Maus,Teclado / Ratón,Клавиатура / мышь,键盘/鼠标,キーボード／マウス,키보드/마우스
settings.header_gamepad,Rebind grid column header,Gamepad,Manette,Gamepad,Gamepad,Mando,Геймпад,手柄,ゲームパッド,게임패드
settings.reset_settings,Reset Settings button label,Reset Settings,Réinitialiser les réglages,Ripristina impostazioni,Einstellungen zurücksetzen,Restablecer ajustes,Сбросить настройки,重置设置,設定をリセット,설정 초기화
settings.delete_save,Delete Save button label,Delete Save,Supprimer la sauvegarde,Elimina salvataggio,Spielstand löschen,Borrar partida,Удалить сохранение,删除存档,セーブデータを削除,저장 데이터 삭제
pause.resume,Pause menu button,Resume,Reprendre,Riprendi,Fortsetzen,Reanudar,Продолжить,继续,再開,계속하기
pause.settings,Pause menu button,Settings,Réglages,Impostazioni,Einstellungen,Ajustes,Настройки,设置,設定,설정
pause.photo_mode,Pause menu button,Photo Mode,Mode photo,Modalità foto,Fotomodus,Modo foto,Фоторежим,拍照模式,フォトモード,사진 모드
pause.quit,Pause menu button,Quit,Quitter,Esci,Beenden,Salir,Выйти,退出,終了,종료
settings.game_speed,Settings row label for game speed,Game Speed,Vitesse du jeu,Velocità di gioco,Spielgeschwindigkeit,Velocidad del juego,Скорость игры,游戏速度,ゲームスピード,게임 속도
